num of port: 113
num ip: 5
num range: 10
Client: WSAStartup() is OK.
NO
Client: WSAStartup() is OK.
NO
Client: WSAStartup() is OK.
67.205.191.44 1 1028 80
67.205.191.44 1 1032 1000
67.205.191.44 1 1036 1080
67.205.191.44 1 1040 1081
67.205.191.44 1 1044 1082
67.205.191.44 1 1048 1083
67.205.191.44 1 1052 1084
67.205.191.44 1 1056 1085
67.205.191.44 1 1060 1086
67.205.191.44 1 1064 1087
67.205.191.44 1 1068 1088
67.205.191.44 1 1072 1089
67.205.191.44 1 1076 1090
67.205.191.44 1 1080 1091
67.205.191.44 1 1084 1092
67.205.191.44 1 1088 1093
67.205.191.44 1 1092 1094
67.205.191.44 1 1096 1095
67.205.191.44 1 1100 1096
67.205.191.44 1 1104 1097
67.205.191.44 1 1108 1098
67.205.191.44 1 1112 1099
67.205.191.44 1 1116 1100
67.205.191.44 1 1120 1101
67.205.191.44 1 1124 1102
67.205.191.44 1 1128 1103
67.205.191.44 1 1132 1104
67.205.191.44 1 1136 1105
67.205.191.44 1 1140 1106
67.205.191.44 1 1144 1107
67.205.191.44 1 1148 1108
67.205.191.44 1 1152 1109
67.205.191.44 1 1156 1110
67.205.191.44 1 1160 1111
67.205.191.44 1 1164 1112
67.205.191.44 1 1168 1113
67.205.191.44 1 1172 1114
67.205.191.44 1 1176 1115
67.205.191.44 1 1180 1116
67.205.191.44 1 1184 1117
67.205.191.44 1 1188 1118
67.205.191.44 1 1192 1119
67.205.191.44 1 1196 1120
67.205.191.44 1 1200 1121
67.205.191.44 1 1204 1122
67.205.191.44 1 1208 1123
67.205.191.44 1 1212 1124
67.205.191.44 1 1216 1125
67.205.191.44 1 1220 1126
67.205.191.44 1 1224 1127
67.205.191.44 1 1228 1128
67.205.191.44 1 1232 1129
67.205.191.44 1 1236 1130
67.205.191.44 1 1240 1131
67.205.191.44 1 1244 1132
67.205.191.44 1 1248 1133
67.205.191.44 1 1252 1134
67.205.191.44 1 1256 1135
67.205.191.44 1 1260 1136
67.205.191.44 1 1264 1137
67.205.191.44 1 1268 1138
67.205.191.44 1 1272 1139
67.205.191.44 1 1276 1140
67.205.191.44 1 1280 1141
67.205.191.44 1 1284 1142
67.205.191.44 1 1288 1143
67.205.191.44 1 1292 1144
67.205.191.44 1 1296 1145
67.205.191.44 1 1300 1146
67.205.191.44 1 1304 1147
67.205.191.44 1 1308 1148
67.205.191.44 1 1312 1149
67.205.191.44 1 1316 1150
67.205.191.44 1 1320 1151
67.205.191.44 1 1324 1152
67.205.191.44 1 1328 1153
67.205.191.44 1 1332 1154
67.205.191.44 1 1336 1155
67.205.191.44 1 1340 1156
67.205.191.44 1 1344 1157
67.205.191.44 1 1348 1158
67.205.191.44 1 1352 1159
67.205.191.44 1 1356 1160
67.205.191.44 1 1360 1161
67.205.191.44 1 1364 1162
67.205.191.44 1 1368 1163
67.205.191.44 1 1372 1164
67.205.191.44 1 1376 1165
67.205.191.44 1 1380 1166
67.205.191.44 1 1384 1167
67.205.191.44 1 1388 1168
67.205.191.44 1 1392 1169
67.205.191.44 1 1396 1170
67.205.191.44 1 1400 1171
67.205.191.44 1 1404 1172
67.205.191.44 1 1408 1173
67.205.191.44 1 1412 1174
67.205.191.44 1 1416 1175
67.205.191.44 1 1420 1176
67.205.191.44 1 1424 1177
67.205.191.44 1 1428 1178
67.205.191.44 1 1432 1179
67.205.191.44 1 1436 1180
67.205.191.44 1 1440 2214
67.205.191.44 1 1444 8085
67.205.191.44 1 1448 8888
67.205.191.44 1 1452 11074
67.205.191.44 1 1456 11187
67.205.191.44 1 1460 15444
67.205.191.44 1 1464 32174
67.205.191.44 1 1468 34417
67.205.191.44 1 1472 51953
67.205.191.44 1 1476 60999
67.205.191.44 1 1028 80
67.205.191.44 1 1032 1000
67.205.191.44 2 1036 1080
67.205.191.44 1 1040 1081
67.205.191.44 1 1044 1082
67.205.191.44 1 1048 1083
67.205.191.44 1 1052 1084
67.205.191.44 1 1056 1085
67.205.191.44 1 1060 1086
